group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_matches,,,,,55942645.0,ns,2
find_matches,,,,,54359383.0,ns,2
find_matches,,,,,54358439.0,ns,2
find_matches,,,,,53510689.0,ns,2
find_matches,,,,,54538148.0,ns,2
find_matches,,,,,53048201.0,ns,2
find_matches,,,,,53112525.0,ns,2
find_matches,,,,,54572619.0,ns,2
find_matches,,,,,58471870.0,ns,2
find_matches,,,,,60234830.0,ns,2
find_matches,,,,,54851463.0,ns,2
find_matches,,,,,55654825.0,ns,2
find_matches,,,,,54976979.0,ns,2
find_matches,,,,,54394307.0,ns,2
find_matches,,,,,56371434.0,ns,2
find_matches,,,,,55232847.0,ns,2
find_matches,,,,,53628833.0,ns,2
find_matches,,,,,49530710.0,ns,2
find_matches,,,,,52366317.0,ns,2
find_matches,,,,,53891944.0,ns,2
find_matches,,,,,53727004.0,ns,2
find_matches,,,,,53421314.0,ns,2
find_matches,,,,,55402522.0,ns,2
find_matches,,,,,53996085.0,ns,2
find_matches,,,,,54689415.0,ns,2
find_matches,,,,,54028639.0,ns,2
find_matches,,,,,54999550.0,ns,2
find_matches,,,,,54908766.0,ns,2
find_matches,,,,,53378641.0,ns,2
find_matches,,,,,54565116.0,ns,2
find_matches,,,,,53044539.0,ns,2
find_matches,,,,,53296447.0,ns,2
find_matches,,,,,54338510.0,ns,2
find_matches,,,,,54193342.0,ns,2
find_matches,,,,,52618769.0,ns,2
find_matches,,,,,53157675.0,ns,2
find_matches,,,,,53520729.0,ns,2
find_matches,,,,,52877686.0,ns,2
find_matches,,,,,54049555.0,ns,2
find_matches,,,,,52880630.0,ns,2
find_matches,,,,,53887289.0,ns,2
find_matches,,,,,54718325.0,ns,2
find_matches,,,,,53204360.0,ns,2
find_matches,,,,,54374857.0,ns,2
find_matches,,,,,53480653.0,ns,2
find_matches,,,,,53016693.0,ns,2
find_matches,,,,,52877215.0,ns,2
find_matches,,,,,53196618.0,ns,2
find_matches,,,,,52977860.0,ns,2
find_matches,,,,,53658486.0,ns,2
find_matches,,,,,53895432.0,ns,2
find_matches,,,,,53541560.0,ns,2
find_matches,,,,,55144715.0,ns,2
find_matches,,,,,54904371.0,ns,2
find_matches,,,,,54466683.0,ns,2
find_matches,,,,,55321109.0,ns,2
find_matches,,,,,55089698.0,ns,2
find_matches,,,,,54843588.0,ns,2
find_matches,,,,,53475864.0,ns,2
find_matches,,,,,56065297.0,ns,2
find_matches,,,,,53494738.0,ns,2
find_matches,,,,,54244342.0,ns,2
find_matches,,,,,54500814.0,ns,2
find_matches,,,,,55660414.0,ns,2
find_matches,,,,,54799515.0,ns,2
find_matches,,,,,53203983.0,ns,2
find_matches,,,,,54363694.0,ns,2
find_matches,,,,,55031452.0,ns,2
find_matches,,,,,53579098.0,ns,2
find_matches,,,,,55439328.0,ns,2
find_matches,,,,,54656574.0,ns,2
find_matches,,,,,54809885.0,ns,2
find_matches,,,,,54328836.0,ns,2
find_matches,,,,,55564487.0,ns,2
find_matches,,,,,55408488.0,ns,2
find_matches,,,,,55617355.0,ns,2
find_matches,,,,,54145412.0,ns,2
find_matches,,,,,55410415.0,ns,2
find_matches,,,,,55871391.0,ns,2
find_matches,,,,,55413380.0,ns,2
find_matches,,,,,53309128.0,ns,2
find_matches,,,,,55196806.0,ns,2
find_matches,,,,,53594441.0,ns,2
find_matches,,,,,55934921.0,ns,2
find_matches,,,,,55759105.0,ns,2
find_matches,,,,,55555833.0,ns,2
find_matches,,,,,54438980.0,ns,2
find_matches,,,,,54765423.0,ns,2
find_matches,,,,,54102025.0,ns,2
find_matches,,,,,54615715.0,ns,2
find_matches,,,,,54358873.0,ns,2
find_matches,,,,,55221965.0,ns,2
find_matches,,,,,54864917.0,ns,2
find_matches,,,,,51414873.0,ns,2
find_matches,,,,,54414434.0,ns,2
find_matches,,,,,54337580.0,ns,2
find_matches,,,,,54518002.0,ns,2
find_matches,,,,,54558274.0,ns,2
find_matches,,,,,53432201.0,ns,2
find_matches,,,,,55944164.0,ns,2
