group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
find_matches_ids,,1000,,,58089841.0,ns,2
find_matches_ids,,1000,,,55969549.0,ns,2
find_matches_ids,,1000,,,58170128.0,ns,2
find_matches_ids,,1000,,,57079709.0,ns,2
find_matches_ids,,1000,,,56251190.0,ns,2
find_matches_ids,,1000,,,56089561.0,ns,2
find_matches_ids,,1000,,,57765284.0,ns,2
find_matches_ids,,1000,,,55105104.0,ns,2
find_matches_ids,,1000,,,57444036.0,ns,2
find_matches_ids,,1000,,,57746830.0,ns,2
find_matches_ids,,1000,,,56266329.0,ns,2
find_matches_ids,,1000,,,58782573.0,ns,2
find_matches_ids,,1000,,,56630221.0,ns,2
find_matches_ids,,1000,,,57996796.0,ns,2
find_matches_ids,,1000,,,56393190.0,ns,2
find_matches_ids,,1000,,,58235086.0,ns,2
find_matches_ids,,1000,,,56004449.0,ns,2
find_matches_ids,,1000,,,57229004.0,ns,2
find_matches_ids,,1000,,,56315013.0,ns,2
find_matches_ids,,1000,,,56861077.0,ns,2
find_matches_ids,,1000,,,58105690.0,ns,2
find_matches_ids,,1000,,,56205953.0,ns,2
find_matches_ids,,1000,,,56855685.0,ns,2
find_matches_ids,,1000,,,56145288.0,ns,2
find_matches_ids,,1000,,,57430948.0,ns,2
find_matches_ids,,1000,,,57209215.0,ns,2
find_matches_ids,,1000,,,56877710.0,ns,2
find_matches_ids,,1000,,,55357116.0,ns,2
find_matches_ids,,1000,,,57398432.0,ns,2
find_matches_ids,,1000,,,56993021.0,ns,2
find_matches_ids,,1000,,,56571340.0,ns,2
find_matches_ids,,1000,,,57261533.0,ns,2
find_matches_ids,,1000,,,55911726.0,ns,2
find_matches_ids,,1000,,,56711669.0,ns,2
find_matches_ids,,1000,,,57267267.0,ns,2
find_matches_ids,,1000,,,56016901.0,ns,2
find_matches_ids,,1000,,,56346286.0,ns,2
find_matches_ids,,1000,,,55847184.0,ns,2
find_matches_ids,,1000,,,57897710.0,ns,2
find_matches_ids,,1000,,,55392405.0,ns,2
find_matches_ids,,1000,,,57507443.0,ns,2
find_matches_ids,,1000,,,56829241.0,ns,2
find_matches_ids,,1000,,,55428053.0,ns,2
find_matches_ids,,1000,,,56887365.0,ns,2
find_matches_ids,,1000,,,57186513.0,ns,2
find_matches_ids,,1000,,,57749203.0,ns,2
find_matches_ids,,1000,,,57746685.0,ns,2
find_matches_ids,,1000,,,57155374.0,ns,2
find_matches_ids,,1000,,,56765289.0,ns,2
find_matches_ids,,1000,,,58082548.0,ns,2
find_matches_ids,,1000,,,58315218.0,ns,2
find_matches_ids,,1000,,,57354033.0,ns,2
find_matches_ids,,1000,,,58181430.0,ns,2
find_matches_ids,,1000,,,56862481.0,ns,2
find_matches_ids,,1000,,,57663379.0,ns,2
find_matches_ids,,1000,,,57627072.0,ns,2
find_matches_ids,,1000,,,55996494.0,ns,2
find_matches_ids,,1000,,,57432481.0,ns,2
find_matches_ids,,1000,,,56990316.0,ns,2
find_matches_ids,,1000,,,55871476.0,ns,2
find_matches_ids,,1000,,,58191582.0,ns,2
find_matches_ids,,1000,,,58641777.0,ns,2
find_matches_ids,,1000,,,56401466.0,ns,2
find_matches_ids,,1000,,,58043294.0,ns,2
find_matches_ids,,1000,,,56304392.0,ns,2
find_matches_ids,,1000,,,57731062.0,ns,2
find_matches_ids,,1000,,,56855294.0,ns,2
find_matches_ids,,1000,,,56638375.0,ns,2
find_matches_ids,,1000,,,58463803.0,ns,2
find_matches_ids,,1000,,,57945108.0,ns,2
find_matches_ids,,1000,,,56033044.0,ns,2
find_matches_ids,,1000,,,57903738.0,ns,2
find_matches_ids,,1000,,,58537236.0,ns,2
find_matches_ids,,1000,,,57855505.0,ns,2
find_matches_ids,,1000,,,55790806.0,ns,2
find_matches_ids,,1000,,,57587422.0,ns,2
find_matches_ids,,1000,,,56186956.0,ns,2
find_matches_ids,,1000,,,57659532.0,ns,2
find_matches_ids,,1000,,,56852619.0,ns,2
find_matches_ids,,1000,,,56658456.0,ns,2
find_matches_ids,,1000,,,60313746.0,ns,2
find_matches_ids,,1000,,,63120601.0,ns,2
find_matches_ids,,1000,,,65054964.0,ns,2
find_matches_ids,,1000,,,61468131.0,ns,2
find_matches_ids,,1000,,,63405456.0,ns,2
find_matches_ids,,1000,,,63926449.0,ns,2
find_matches_ids,,1000,,,60696440.0,ns,2
find_matches_ids,,1000,,,62572372.0,ns,2
find_matches_ids,,1000,,,66413370.0,ns,2
find_matches_ids,,1000,,,61237324.0,ns,2
find_matches_ids,,1000,,,62678058.0,ns,2
find_matches_ids,,1000,,,61840871.0,ns,2
find_matches_ids,,1000,,,63843779.0,ns,2
find_matches_ids,,1000,,,63029490.0,ns,2
find_matches_ids,,1000,,,57693127.0,ns,2
find_matches_ids,,1000,,,56049868.0,ns,2
find_matches_ids,,1000,,,56084293.0,ns,2
find_matches_ids,,1000,,,55519318.0,ns,2
find_matches_ids,,1000,,,57437111.0,ns,2
find_matches_ids,,1000,,,56614530.0,ns,2
