group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parse_document_to_pair,,,,,53831417.0,ns,2
parse_document_to_pair,,,,,53061414.0,ns,2
parse_document_to_pair,,,,,53054054.0,ns,2
parse_document_to_pair,,,,,51987636.0,ns,2
parse_document_to_pair,,,,,52327195.0,ns,2
parse_document_to_pair,,,,,53403410.0,ns,2
parse_document_to_pair,,,,,52612662.0,ns,2
parse_document_to_pair,,,,,54238978.0,ns,2
parse_document_to_pair,,,,,52052917.0,ns,2
parse_document_to_pair,,,,,53539292.0,ns,2
parse_document_to_pair,,,,,51978798.0,ns,2
parse_document_to_pair,,,,,53011925.0,ns,2
parse_document_to_pair,,,,,52123138.0,ns,2
parse_document_to_pair,,,,,52005139.0,ns,2
parse_document_to_pair,,,,,52361818.0,ns,2
parse_document_to_pair,,,,,52128714.0,ns,2
parse_document_to_pair,,,,,52386397.0,ns,2
parse_document_to_pair,,,,,51972831.0,ns,2
parse_document_to_pair,,,,,51994735.0,ns,2
parse_document_to_pair,,,,,52333778.0,ns,2
parse_document_to_pair,,,,,51122239.0,ns,2
parse_document_to_pair,,,,,51094967.0,ns,2
parse_document_to_pair,,,,,51424165.0,ns,2
parse_document_to_pair,,,,,51707927.0,ns,2
parse_document_to_pair,,,,,51794232.0,ns,2
parse_document_to_pair,,,,,52758818.0,ns,2
parse_document_to_pair,,,,,52393747.0,ns,2
parse_document_to_pair,,,,,52496376.0,ns,2
parse_document_to_pair,,,,,52027480.0,ns,2
parse_document_to_pair,,,,,52103504.0,ns,2
parse_document_to_pair,,,,,52998885.0,ns,2
parse_document_to_pair,,,,,51799997.0,ns,2
parse_document_to_pair,,,,,51483936.0,ns,2
parse_document_to_pair,,,,,52231204.0,ns,2
parse_document_to_pair,,,,,52416547.0,ns,2
parse_document_to_pair,,,,,51931464.0,ns,2
parse_document_to_pair,,,,,51436406.0,ns,2
parse_document_to_pair,,,,,52119016.0,ns,2
parse_document_to_pair,,,,,52382956.0,ns,2
parse_document_to_pair,,,,,51992338.0,ns,2
parse_document_to_pair,,,,,51534878.0,ns,2
parse_document_to_pair,,,,,52542897.0,ns,2
parse_document_to_pair,,,,,52594725.0,ns,2
parse_document_to_pair,,,,,51954545.0,ns,2
parse_document_to_pair,,,,,52035953.0,ns,2
parse_document_to_pair,,,,,52768068.0,ns,2
parse_document_to_pair,,,,,53324585.0,ns,2
parse_document_to_pair,,,,,55120646.0,ns,2
parse_document_to_pair,,,,,54298541.0,ns,2
parse_document_to_pair,,,,,54732758.0,ns,2
parse_document_to_pair,,,,,58983516.0,ns,2
parse_document_to_pair,,,,,57357196.0,ns,2
parse_document_to_pair,,,,,58206269.0,ns,2
parse_document_to_pair,,,,,56179907.0,ns,2
parse_document_to_pair,,,,,55759519.0,ns,2
parse_document_to_pair,,,,,57875125.0,ns,2
parse_document_to_pair,,,,,57508110.0,ns,2
parse_document_to_pair,,,,,58201118.0,ns,2
parse_document_to_pair,,,,,56939924.0,ns,2
parse_document_to_pair,,,,,54628103.0,ns,2
parse_document_to_pair,,,,,53159092.0,ns,2
parse_document_to_pair,,,,,53813585.0,ns,2
parse_document_to_pair,,,,,56217737.0,ns,2
parse_document_to_pair,,,,,55759874.0,ns,2
parse_document_to_pair,,,,,53915096.0,ns,2
parse_document_to_pair,,,,,52599425.0,ns,2
parse_document_to_pair,,,,,52422212.0,ns,2
parse_document_to_pair,,,,,53108357.0,ns,2
parse_document_to_pair,,,,,52129810.0,ns,2
parse_document_to_pair,,,,,52838137.0,ns,2
parse_document_to_pair,,,,,55354910.0,ns,2
parse_document_to_pair,,,,,55494295.0,ns,2
parse_document_to_pair,,,,,54770237.0,ns,2
parse_document_to_pair,,,,,53235663.0,ns,2
parse_document_to_pair,,,,,53180315.0,ns,2
parse_document_to_pair,,,,,52895489.0,ns,2
parse_document_to_pair,,,,,52089606.0,ns,2
parse_document_to_pair,,,,,47993918.0,ns,2
parse_document_to_pair,,,,,55097718.0,ns,2
parse_document_to_pair,,,,,56216822.0,ns,2
parse_document_to_pair,,,,,56299026.0,ns,2
parse_document_to_pair,,,,,55768822.0,ns,2
parse_document_to_pair,,,,,54619367.0,ns,2
parse_document_to_pair,,,,,53945419.0,ns,2
parse_document_to_pair,,,,,53281540.0,ns,2
parse_document_to_pair,,,,,56546974.0,ns,2
parse_document_to_pair,,,,,56887771.0,ns,2
parse_document_to_pair,,,,,57834963.0,ns,2
parse_document_to_pair,,,,,55590355.0,ns,2
parse_document_to_pair,,,,,54146951.0,ns,2
parse_document_to_pair,,,,,52186170.0,ns,2
parse_document_to_pair,,,,,54205112.0,ns,2
parse_document_to_pair,,,,,58858262.0,ns,2
parse_document_to_pair,,,,,58896252.0,ns,2
parse_document_to_pair,,,,,55304914.0,ns,2
parse_document_to_pair,,,,,54554333.0,ns,2
parse_document_to_pair,,,,,53780709.0,ns,2
parse_document_to_pair,,,,,56056255.0,ns,2
parse_document_to_pair,,,,,58937137.0,ns,2
parse_document_to_pair,,,,,57330132.0,ns,2
