group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
query throughput,query,10,410,bytes,54889740.0,ns,2
query throughput,query,10,410,bytes,53483421.0,ns,2
query throughput,query,10,410,bytes,53224829.0,ns,2
query throughput,query,10,410,bytes,53901487.0,ns,2
query throughput,query,10,410,bytes,54454445.0,ns,2
query throughput,query,10,410,bytes,52865691.0,ns,2
query throughput,query,10,410,bytes,52529849.0,ns,2
query throughput,query,10,410,bytes,53471209.0,ns,2
query throughput,query,10,410,bytes,52609734.0,ns,2
query throughput,query,10,410,bytes,52199613.0,ns,2
query throughput,query,10,410,bytes,52268545.0,ns,2
query throughput,query,10,410,bytes,53122092.0,ns,2
query throughput,query,10,410,bytes,52937712.0,ns,2
query throughput,query,10,410,bytes,53937841.0,ns,2
query throughput,query,10,410,bytes,54688111.0,ns,2
query throughput,query,10,410,bytes,53686819.0,ns,2
query throughput,query,10,410,bytes,52874933.0,ns,2
query throughput,query,10,410,bytes,52134458.0,ns,2
query throughput,query,10,410,bytes,53179069.0,ns,2
query throughput,query,10,410,bytes,53036943.0,ns,2
query throughput,query,10,410,bytes,52582395.0,ns,2
query throughput,query,10,410,bytes,52367916.0,ns,2
query throughput,query,10,410,bytes,53299915.0,ns,2
query throughput,query,10,410,bytes,53610824.0,ns,2
query throughput,query,10,410,bytes,52520298.0,ns,2
query throughput,query,10,410,bytes,52696509.0,ns,2
query throughput,query,10,410,bytes,53677113.0,ns,2
query throughput,query,10,410,bytes,52685915.0,ns,2
query throughput,query,10,410,bytes,52455214.0,ns,2
query throughput,query,10,410,bytes,52262290.0,ns,2
query throughput,query,10,410,bytes,53439712.0,ns,2
query throughput,query,10,410,bytes,52222833.0,ns,2
query throughput,query,10,410,bytes,53079030.0,ns,2
query throughput,query,10,410,bytes,53172257.0,ns,2
query throughput,query,10,410,bytes,52820967.0,ns,2
query throughput,query,10,410,bytes,52615861.0,ns,2
query throughput,query,10,410,bytes,52602843.0,ns,2
query throughput,query,10,410,bytes,53850833.0,ns,2
query throughput,query,10,410,bytes,54014742.0,ns,2
query throughput,query,10,410,bytes,53202154.0,ns,2
query throughput,query,10,410,bytes,53081040.0,ns,2
query throughput,query,10,410,bytes,54217586.0,ns,2
query throughput,query,10,410,bytes,54681285.0,ns,2
query throughput,query,10,410,bytes,53271584.0,ns,2
query throughput,query,10,410,bytes,53385301.0,ns,2
query throughput,query,10,410,bytes,53721341.0,ns,2
query throughput,query,10,410,bytes,52833757.0,ns,2
query throughput,query,10,410,bytes,52903729.0,ns,2
query throughput,query,10,410,bytes,52621107.0,ns,2
query throughput,query,10,410,bytes,53000758.0,ns,2
query throughput,query,10,410,bytes,52945974.0,ns,2
query throughput,query,10,410,bytes,53428797.0,ns,2
query throughput,query,10,410,bytes,53848725.0,ns,2
query throughput,query,10,410,bytes,52822368.0,ns,2
query throughput,query,10,410,bytes,52644864.0,ns,2
query throughput,query,10,410,bytes,52621048.0,ns,2
query throughput,query,10,410,bytes,54011059.0,ns,2
query throughput,query,10,410,bytes,53346497.0,ns,2
query throughput,query,10,410,bytes,52341859.0,ns,2
query throughput,query,10,410,bytes,52844262.0,ns,2
query throughput,query,10,410,bytes,54302930.0,ns,2
query throughput,query,10,410,bytes,52933181.0,ns,2
query throughput,query,10,410,bytes,52675450.0,ns,2
query throughput,query,10,410,bytes,52281281.0,ns,2
query throughput,query,10,410,bytes,53210590.0,ns,2
query throughput,query,10,410,bytes,51381235.0,ns,2
query throughput,query,10,410,bytes,50822221.0,ns,2
query throughput,query,10,410,bytes,51832103.0,ns,2
query throughput,query,10,410,bytes,52734926.0,ns,2
query throughput,query,10,410,bytes,52760753.0,ns,2
query throughput,query,10,410,bytes,52934559.0,ns,2
query throughput,query,10,410,bytes,53599207.0,ns,2
query throughput,query,10,410,bytes,53511286.0,ns,2
query throughput,query,10,410,bytes,52498396.0,ns,2
query throughput,query,10,410,bytes,52968607.0,ns,2
query throughput,query,10,410,bytes,53298924.0,ns,2
query throughput,query,10,410,bytes,52960246.0,ns,2
query throughput,query,10,410,bytes,52657697.0,ns,2
query throughput,query,10,410,bytes,52208991.0,ns,2
query throughput,query,10,410,bytes,54507813.0,ns,2
query throughput,query,10,410,bytes,53146395.0,ns,2
query throughput,query,10,410,bytes,52756351.0,ns,2
query throughput,query,10,410,bytes,53002529.0,ns,2
query throughput,query,10,410,bytes,53615533.0,ns,2
query throughput,query,10,410,bytes,52848745.0,ns,2
query throughput,query,10,410,bytes,53044733.0,ns,2
query throughput,query,10,410,bytes,53625833.0,ns,2
query throughput,query,10,410,bytes,53324418.0,ns,2
query throughput,query,10,410,bytes,52767384.0,ns,2
query throughput,query,10,410,bytes,52917875.0,ns,2
query throughput,query,10,410,bytes,53395952.0,ns,2
query throughput,query,10,410,bytes,52794976.0,ns,2
query throughput,query,10,410,bytes,51620693.0,ns,2
query throughput,query,10,410,bytes,52696707.0,ns,2
query throughput,query,10,410,bytes,52869077.0,ns,2
query throughput,query,10,410,bytes,52093071.0,ns,2
query throughput,query,10,410,bytes,52000774.0,ns,2
query throughput,query,10,410,bytes,52217055.0,ns,2
query throughput,query,10,410,bytes,53267477.0,ns,2
query throughput,query,10,410,bytes,53602999.0,ns,2
