group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
query throughput,query,1000,41000,bytes,93895705.0,ns,2
query throughput,query,1000,41000,bytes,92694774.0,ns,2
query throughput,query,1000,41000,bytes,94762849.0,ns,2
query throughput,query,1000,41000,bytes,95110814.0,ns,2
query throughput,query,1000,41000,bytes,94622795.0,ns,2
query throughput,query,1000,41000,bytes,94787743.0,ns,2
query throughput,query,1000,41000,bytes,93691530.0,ns,2
query throughput,query,1000,41000,bytes,93867757.0,ns,2
query throughput,query,1000,41000,bytes,94140184.0,ns,2
query throughput,query,1000,41000,bytes,93690964.0,ns,2
query throughput,query,1000,41000,bytes,96112094.0,ns,2
query throughput,query,1000,41000,bytes,93155545.0,ns,2
query throughput,query,1000,41000,bytes,92415742.0,ns,2
query throughput,query,1000,41000,bytes,87018754.0,ns,2
query throughput,query,1000,41000,bytes,87426352.0,ns,2
query throughput,query,1000,41000,bytes,89576921.0,ns,2
query throughput,query,1000,41000,bytes,94425510.0,ns,2
query throughput,query,1000,41000,bytes,93304659.0,ns,2
query throughput,query,1000,41000,bytes,95600211.0,ns,2
query throughput,query,1000,41000,bytes,95614704.0,ns,2
query throughput,query,1000,41000,bytes,93983770.0,ns,2
query throughput,query,1000,41000,bytes,94543658.0,ns,2
query throughput,query,1000,41000,bytes,93693647.0,ns,2
query throughput,query,1000,41000,bytes,94867798.0,ns,2
query throughput,query,1000,41000,bytes,93697275.0,ns,2
query throughput,query,1000,41000,bytes,91463358.0,ns,2
query throughput,query,1000,41000,bytes,91884060.0,ns,2
query throughput,query,1000,41000,bytes,92519268.0,ns,2
query throughput,query,1000,41000,bytes,91170457.0,ns,2
query throughput,query,1000,41000,bytes,92249041.0,ns,2
query throughput,query,1000,41000,bytes,91856796.0,ns,2
query throughput,query,1000,41000,bytes,91032243.0,ns,2
query throughput,query,1000,41000,bytes,91632755.0,ns,2
query throughput,query,1000,41000,bytes,91442753.0,ns,2
query throughput,query,1000,41000,bytes,91537689.0,ns,2
query throughput,query,1000,41000,bytes,92562811.0,ns,2
query throughput,query,1000,41000,bytes,92549631.0,ns,2
query throughput,query,1000,41000,bytes,92186779.0,ns,2
query throughput,query,1000,41000,bytes,93704602.0,ns,2
query throughput,query,1000,41000,bytes,91616024.0,ns,2
query throughput,query,1000,41000,bytes,93681029.0,ns,2
query throughput,query,1000,41000,bytes,91870987.0,ns,2
query throughput,query,1000,41000,bytes,92185932.0,ns,2
query throughput,query,1000,41000,bytes,93302650.0,ns,2
query throughput,query,1000,41000,bytes,92270656.0,ns,2
query throughput,query,1000,41000,bytes,93473035.0,ns,2
query throughput,query,1000,41000,bytes,93656658.0,ns,2
query throughput,query,1000,41000,bytes,95101194.0,ns,2
query throughput,query,1000,41000,bytes,97509234.0,ns,2
query throughput,query,1000,41000,bytes,100761913.0,ns,2
query throughput,query,1000,41000,bytes,98331943.0,ns,2
query throughput,query,1000,41000,bytes,97537012.0,ns,2
query throughput,query,1000,41000,bytes,98129064.0,ns,2
query throughput,query,1000,41000,bytes,96838916.0,ns,2
query throughput,query,1000,41000,bytes,95093678.0,ns,2
query throughput,query,1000,41000,bytes,94432400.0,ns,2
query throughput,query,1000,41000,bytes,95041835.0,ns,2
query throughput,query,1000,41000,bytes,94390270.0,ns,2
query throughput,query,1000,41000,bytes,93211161.0,ns,2
query throughput,query,1000,41000,bytes,94477108.0,ns,2
query throughput,query,1000,41000,bytes,93732906.0,ns,2
query throughput,query,1000,41000,bytes,95514973.0,ns,2
query throughput,query,1000,41000,bytes,94265245.0,ns,2
query throughput,query,1000,41000,bytes,96790986.0,ns,2
query throughput,query,1000,41000,bytes,95773368.0,ns,2
query throughput,query,1000,41000,bytes,94652089.0,ns,2
query throughput,query,1000,41000,bytes,93751605.0,ns,2
query throughput,query,1000,41000,bytes,93964693.0,ns,2
query throughput,query,1000,41000,bytes,93250950.0,ns,2
query throughput,query,1000,41000,bytes,95917131.0,ns,2
query throughput,query,1000,41000,bytes,96653141.0,ns,2
query throughput,query,1000,41000,bytes,95806999.0,ns,2
query throughput,query,1000,41000,bytes,96420720.0,ns,2
query throughput,query,1000,41000,bytes,94878404.0,ns,2
