group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
split_paragraphs,,,,,970223.0,ns,92
split_paragraphs,,,,,1937087.0,ns,184
split_paragraphs,,,,,2881787.0,ns,276
split_paragraphs,,,,,3877954.0,ns,368
split_paragraphs,,,,,4844976.0,ns,460
split_paragraphs,,,,,5833977.0,ns,552
split_paragraphs,,,,,6897377.0,ns,644
split_paragraphs,,,,,7841052.0,ns,736
split_paragraphs,,,,,8677910.0,ns,828
split_paragraphs,,,,,9828450.0,ns,920
split_paragraphs,,,,,10621664.0,ns,1012
split_paragraphs,,,,,11695398.0,ns,1104
split_paragraphs,,,,,12763864.0,ns,1196
split_paragraphs,,,,,13675043.0,ns,1288
split_paragraphs,,,,,14529513.0,ns,1380
split_paragraphs,,,,,15765390.0,ns,1472
split_paragraphs,,,,,16632006.0,ns,1564
split_paragraphs,,,,,17493474.0,ns,1656
split_paragraphs,,,,,18412259.0,ns,1748
split_paragraphs,,,,,19616975.0,ns,1840
split_paragraphs,,,,,20471364.0,ns,1932
split_paragraphs,,,,,21402645.0,ns,2024
split_paragraphs,,,,,22299447.0,ns,2116
split_paragraphs,,,,,23481301.0,ns,2208
split_paragraphs,,,,,24402522.0,ns,2300
split_paragraphs,,,,,25131647.0,ns,2392
split_paragraphs,,,,,26255613.0,ns,2484
split_paragraphs,,,,,27250668.0,ns,2576
split_paragraphs,,,,,28386534.0,ns,2668
split_paragraphs,,,,,29266232.0,ns,2760
split_paragraphs,,,,,30314818.0,ns,2852
split_paragraphs,,,,,31204184.0,ns,2944
split_paragraphs,,,,,32476843.0,ns,3036
split_paragraphs,,,,,33319440.0,ns,3128
split_paragraphs,,,,,34550314.0,ns,3220
split_paragraphs,,,,,35472697.0,ns,3312
split_paragraphs,,,,,36356830.0,ns,3404
split_paragraphs,,,,,38066298.0,ns,3496
split_paragraphs,,,,,38396801.0,ns,3588
split_paragraphs,,,,,39008525.0,ns,3680
split_paragraphs,,,,,39971002.0,ns,3772
split_paragraphs,,,,,41135798.0,ns,3864
split_paragraphs,,,,,41983726.0,ns,3956
split_paragraphs,,,,,43117248.0,ns,4048
split_paragraphs,,,,,43817423.0,ns,4140
split_paragraphs,,,,,44831295.0,ns,4232
split_paragraphs,,,,,45901219.0,ns,4324
split_paragraphs,,,,,46699001.0,ns,4416
split_paragraphs,,,,,47961194.0,ns,4508
split_paragraphs,,,,,48832738.0,ns,4600
split_paragraphs,,,,,49591753.0,ns,4692
split_paragraphs,,,,,50565743.0,ns,4784
split_paragraphs,,,,,51459210.0,ns,4876
split_paragraphs,,,,,52365199.0,ns,4968
split_paragraphs,,,,,53364748.0,ns,5060
split_paragraphs,,,,,54339615.0,ns,5152
split_paragraphs,,,,,55453709.0,ns,5244
split_paragraphs,,,,,56444156.0,ns,5336
split_paragraphs,,,,,57769951.0,ns,5428
split_paragraphs,,,,,58630306.0,ns,5520
split_paragraphs,,,,,59447352.0,ns,5612
split_paragraphs,,,,,60269591.0,ns,5704
split_paragraphs,,,,,64366950.0,ns,5796
split_paragraphs,,,,,61723594.0,ns,5888
split_paragraphs,,,,,62728488.0,ns,5980
split_paragraphs,,,,,63719231.0,ns,6072
split_paragraphs,,,,,64642416.0,ns,6164
split_paragraphs,,,,,65605827.0,ns,6256
split_paragraphs,,,,,66581935.0,ns,6348
split_paragraphs,,,,,67687829.0,ns,6440
split_paragraphs,,,,,68467075.0,ns,6532
split_paragraphs,,,,,69581039.0,ns,6624
split_paragraphs,,,,,70784420.0,ns,6716
split_paragraphs,,,,,77814390.0,ns,6808
split_paragraphs,,,,,76954324.0,ns,6900
split_paragraphs,,,,,77850577.0,ns,6992
split_paragraphs,,,,,78997325.0,ns,7084
split_paragraphs,,,,,79499454.0,ns,7176
split_paragraphs,,,,,80432522.0,ns,7268
split_paragraphs,,,,,77782044.0,ns,7360
split_paragraphs,,,,,78732453.0,ns,7452
split_paragraphs,,,,,79746018.0,ns,7544
split_paragraphs,,,,,80920231.0,ns,7636
split_paragraphs,,,,,81708825.0,ns,7728
split_paragraphs,,,,,82712475.0,ns,7820
split_paragraphs,,,,,83677519.0,ns,7912
split_paragraphs,,,,,84330112.0,ns,8004
split_paragraphs,,,,,85491055.0,ns,8096
split_paragraphs,,,,,86593268.0,ns,8188
split_paragraphs,,,,,87491093.0,ns,8280
split_paragraphs,,,,,88334320.0,ns,8372
split_paragraphs,,,,,89060929.0,ns,8464
split_paragraphs,,,,,90198165.0,ns,8556
split_paragraphs,,,,,91071018.0,ns,8648
split_paragraphs,,,,,90765672.0,ns,8740
split_paragraphs,,,,,92747282.0,ns,8832
split_paragraphs,,,,,93950935.0,ns,8924
split_paragraphs,,,,,94672339.0,ns,9016
split_paragraphs,,,,,96599811.0,ns,9108
split_paragraphs,,,,,96725290.0,ns,9200
