group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,parse_document_to_pair,10000,2940000,bytes,99774781.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99423771.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,98932065.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99315181.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99310090.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99243411.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99256622.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99439010.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99631186.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99664340.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,98813923.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,98993029.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99055325.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99046357.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99174476.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99122160.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99252196.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,98974354.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99473220.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99820547.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99518942.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99168536.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99585126.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99148398.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99272873.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99082989.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99468213.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99592013.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99209006.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99150903.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,98866911.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99117123.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99108894.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99058771.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,98887587.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99453051.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99775174.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99504178.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,97886982.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99033477.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99097682.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99194020.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99145518.0,ns,2
throughput,parse_document_to_pair,10000,2940000,bytes,99104754.0,ns,2
