group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
throughput,parse_document_to_pair,141028,141028,bytes,57234099.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56830670.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,59189180.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58342793.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58064609.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58334239.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57549656.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56972501.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57304057.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56660702.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57531056.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57015407.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56028181.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55796419.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,61138060.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,66902265.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58718552.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58577117.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57711071.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58065369.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57357872.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57655879.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55747950.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57797350.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56963840.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57003595.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57117921.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56438190.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57444438.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57399562.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56990907.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56919313.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,63985365.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,59484787.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55172375.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55154073.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55902207.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55684329.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,61612964.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56539915.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58388894.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,60853078.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,62700283.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57741354.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,60272666.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58708535.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,61486483.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56526973.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,61222564.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57932509.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,60215361.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58131406.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,60721028.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57527877.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58211914.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57791447.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56955358.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57509319.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57225020.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57944139.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56749253.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56007085.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,64857925.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,61383406.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56797147.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57629219.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55511063.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,52909437.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,60999909.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58630488.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58753719.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58378727.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58542456.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57796026.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58382726.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56612342.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55706163.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56450718.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56980951.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56483183.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56367608.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56235159.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56111696.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56679550.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,57074731.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,60654335.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58434028.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,58169708.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,61684215.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56097749.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56522914.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,56371678.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,66015256.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55732224.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55295344.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55803658.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55979997.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,55753716.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,54869629.0,ns,2
throughput,parse_document_to_pair,141028,141028,bytes,53774777.0,ns,2
